fft_0.042Hz,fft_0.292Hz,fft_0.542Hz,fft_0.792Hz,fft_1.042Hz,fft_1.375Hz,fft_1.625Hz,fft_1.875Hz,fft_2.125Hz,fft_2.375Hz,fft_2.625Hz,fft_2.875Hz,fft_3.125Hz,fft_3.375Hz,fft_3.625Hz,fft_3.958Hz,fft_4.208Hz,fft_4.458Hz,fft_4.708Hz,fft_4.958Hz,total_power,max_power,crest_factor,regrowth_power,outer_power_ratio,shoulder_power_ratio,adjacent_channel_power_ratio,label
57.8919344474658,57.6168063576319,45.7882891808187,8.80627554399837,2.5792330640141,-0.548736464349701,-3.02696500456443,-4.54631280629947,-5.34967931905321,-6.52452196653762,-7.07430885864922,-8.59792532179478,-8.94138873142055,-9.79985244140274,-9.98473625773418,-11.0506793701617,-11.4657021904713,-11.7824707584693,-11.8193895758466,-12.5224712310561,272211652.099532,746128.782430679,2.36473490579133,170.951354931274,9.25478849641871e-07,3.3736655278799e-06,2.91987757131673e-06,0
57.4460456300886,57.9942976490491,44.7161111204337,7.53300949662538,1.17513136428061,-1.75010726643478,-3.6350411014683,-4.93937782834395,-6.44847208129669,-7.35823314834545,-8.06838546505417,-9.38332161355832,-9.27338053681171,-10.3991047816803,-10.6497107986872,-11.2836348227295,-12.0429102220962,-12.3371333993893,-12.154708011976,-12.9964355626024,271876162.795332,735232.875951394,2.2161532973684,147.85862114667,7.96845262184916e-07,2.69669142345573e-06,2.31439403958654e-06,0
57.4460195981506,56.9190080585079,45.5795871472907,8.4960674687037,2.69648112211234,-0.56257690143803,-2.75822343949546,-4.29798544308545,-5.42400189675911,-6.32899114646966,-7.05921683998229,-8.10270062829641,-8.76046413098434,-9.47361300617858,-9.60995048685598,-10.4955331930641,-10.909387960936,-11.370453789532,-11.7447171028175,-12.1578256407669,271877890.994857,770871.400941196,2.41332358785944,184.530782643793,9.97050685254283e-07,3.4487686267316e-06,2.96664010840733e-06,0
56.8159087028474,57.7269827606339,45.6645590617543,7.95384001704453,2.7760575105264,-0.265363590454707,-2.2670306230563,-3.28214969734289,-4.31097559251282,-5.3682389468494,-6.27955849347021,-7.12231203261416,-7.46019629975214,-8.36383001437228,-8.40733963851511,-9.54086100928821,-10.0039970053019,-10.1962679802037,-10.7794311009405,-11.0047547093211,271493715.096899,808002.963608136,2.3775995148789,238.742815389537,1.28492651276899e-06,3.97633473599177e-06,3.37384380792525e-06,0
58.0692463674176,57.7877971993962,44.8621798333827,8.59306482120335,2.59277349409887,-0.776606034454924,-3.17838397861672,-4.26086683821387,-5.64980775031025,-6.6966288663647,-7.44414678247077,-8.40974649352242,-8.84352856594262,-9.74164682038663,-9.82755340468171,-10.7776527400468,-11.2261572168165,-11.7389030696083,-11.7407072995657,-12.3729664276812,271522830.196508,786694.172461271,2.24528040715308,173.060038157807,9.37358096012209e-07,3.35284260699036e-06,2.89511363109812e-06,0
57.7434574660385,57.8697516628004,45.5289033173076,7.92154049085683,1.65140606243561,-1.89067699012639,-3.68452123432273,-4.96907479645295,-5.91216713249768,-7.38614351492797,-7.84316227454865,-8.82008179169076,-9.05809242502648,-10.0145744794625,-9.94639065739987,-11.0005205763139,-11.4993811757009,-11.9790753609652,-12.290512821738,-12.7388798199272,271016214.601634,795639.729970661,2.18434384147718,162.480594243795,8.76130795690817e-07,2.79688154807388e-06,2.38406341938132e-06,0
57.2075542915839,57.2179673443862,46.0953043013717,8.00502916782898,2.73164207777028,-0.709655967680286,-2.49877857825327,-3.6823861685668,-5.02204636350562,-6.02247977352906,-6.83582907003084,-7.81527504359403,-8.13892591664436,-9.0641118752834,-9.22649182328645,-10.1479358167783,-10.5410886507362,-11.0436312698646,-11.1096969569719,-11.7712684553391,272231838.895247,775846.851930673,2.24632042125764,203.097207015421,1.09341321109734e-06,3.65163052701702e-06,3.12851222363337e-06,0
57.3168162503543,57.9592329034474,45.3759714362611,8.23687335693117,2.42901496420489,-0.918792901643275,-2.74895532299275,-3.88030449980829,-5.12622476186061,-6.08824070411684,-6.8184649901961,-7.90010986317416,-8.4492229301906,-9.18444794176863,-9.31784653506311,-10.1990680125665,-10.497910321992,-10.9458801872554,-11.2683354359454,-11.6561947809759,271897643.340151,729044.919768667,2.13578986879993,198.179986113895,1.06661961262424e-06,3.47376265612017e-06,2.96678435687869e-06,0
57.2219869947044,58.1109259852063,45.6593287961947,7.24822863143171,2.47033198185079,-0.589268445372878,-3.0155607929828,-4.05989475127141,-5.18249286562603,-6.29323879555021,-7.05550509848571,-7.98646707847831,-8.55134487203516,-9.2932986447512,-9.55930076903579,-10.7232764430486,-10.6279684883321,-11.190634388747,-11.6883271948605,-11.9028283362885,271487369.13165,809661.50934096,2.40661198763613,189.842468056476,1.02380389804125e-06,3.37684475969275e-06,2.88914819345038e-06,0
57.1388695192797,57.5458341860359,45.418382023381,7.79080804665939,2.42413602254797,-0.372041633617135,-2.47062176613217,-3.78937081445745,-4.90592205219801,-6.16533153486323,-6.72664413398457,-7.89326112376985,-8.00971185418888,-9.10494549112394,-9.1764080908621,-10.1787739017086,-10.3495302234905,-10.978934762718,-11.0675923888063,-11.5416679853266,271766103.957907,756702.08121049,2.26799349710077,203.424231875545,1.09623656703845e-06,3.54943043682385e-06,3.0293430544374e-06,0
56.925075724795,58.2691055798349,45.8149096061809,6.80731536104058,1.47234861998186,-1.65501280250556,-4.26386861404249,-5.76299849689439,-6.89750847815617,-8.24718857739425,-8.86084823435887,-9.81495076461763,-9.97370504187456,-11.1592485620781,-11.5908843788656,-12.1300307035945,-12.511733999234,-13.1207871107022,-13.162756960125,-13.6808656126816,272110290.387094,811504.227703529,2.22670180836599,125.394766120111,6.80058118180271e-07,2.60644723166048e-06,2.26864331393124e-06,0
57.8609220104375,57.0082788771784,45.2797215845965,7.95757040809312,1.54248568379244,-1.33081333765852,-3.42394508981899,-4.72710498268976,-6.12360244219811,-6.86362448307716,-7.62088270510941,-8.48616411852569,-9.09265624892188,-9.96333065959513,-9.8884753517026,-10.6812702508768,-11.2085963146735,-11.7168692416909,-11.7834990748744,-12.4717699430182,271494564.104844,788943.192721556,2.45769961373608,168.107110858891,9.05991605941377e-07,2.94848999979806e-06,2.51857710353717e-06,0
57.8008228351346,57.2743592113868,45.801287357601,8.19105773806782,2.38669522692222,-0.66727104264997,-3.11902295010321,-4.32678384100506,-6.13455563009092,-6.83174311519709,-7.46175856296031,-8.63415713713338,-9.26919467400212,-9.9218812848938,-9.85792647124252,-10.9640667656389,-11.2434832622574,-11.6991852174659,-12.0875275604784,-12.5472657339919,271218608.210528,755945.805753598,2.2825610688165,169.713842010208,9.19107031451291e-07,3.25200864579948e-06,2.80545928926118e-06,0
57.1076370404458,58.3664356400229,44.4299888362993,7.87884586745351,2.93901976367545,-0.38732213336113,-2.6009180121472,-3.94743087613527,-5.42999010386,-6.37325653969004,-6.57962449737717,-7.94025030627589,-8.32448113507102,-9.26906444444037,-9.79439859336561,-10.2943236853903,-10.4067556510685,-11.2144206369647,-11.1892762645784,-11.9316485971676,271734525.534921,772454.965697558,2.36527158026637,192.269287672856,1.0385667438206e-06,3.54891641227666e-06,3.04967161985239e-06,0
