fft_0.042Hz,fft_0.292Hz,fft_0.542Hz,fft_0.792Hz,fft_1.042Hz,fft_1.375Hz,fft_1.625Hz,fft_1.875Hz,fft_2.125Hz,fft_2.375Hz,fft_2.625Hz,fft_2.875Hz,fft_3.125Hz,fft_3.375Hz,fft_3.625Hz,fft_3.958Hz,fft_4.208Hz,fft_4.458Hz,fft_4.708Hz,fft_4.958Hz,harmonic_distortion_ratio,harmonic_distortion_db,intermod_power_ratio,intermod_power_db,acpr_db,regrowth_power_db,nonlinear_residual_ratio,label
56.0655615547197,56.9043895797841,45.5320390648794,7.49267170609245,1.54675273174433,-1.59047462372531,-3.64405993834525,-4.74165666335561,-6.30622415399175,-7.34107468869762,-8.35918395642467,-9.13732728075779,-9.82571134835176,-10.598954735326,-10.768152002693,-11.4289665997954,-12.1375802773096,-12.4393862589853,-12.3321656780066,-13.1083993052552,1.18207936155905e-06,-59.2735336505664,1.32630154174476e-06,-58.7735772546058,-56.1842701365996,21.6731286675562,3.58870447898282e-06,0
57.3666376482464,57.3629088453735,45.8948280919862,7.72832142774858,1.65062667175587,-0.959489388104056,-3.01388114998194,-4.04442959518384,-5.33991961446816,-6.43875783968183,-6.97158911877741,-7.98121604033505,-8.12267829096277,-9.31583473504031,-9.55684537028091,-10.3558575698308,-10.6503978572794,-11.276149166649,-11.410596994865,-11.9528487999583,1.53747478213094e-06,-58.1319199878816,1.660136440923e-06,-57.7985621726036,-55.5849173504297,22.8848747172405,4.30012657826081e-06,0
57.5902974772705,57.7818166835979,46.0873591188161,7.29933887044482,2.22222938244078,-0.58437994354011,-2.94306320338286,-4.01440277846992,-5.206039165162,-6.25547626584207,-7.00189301462317,-7.88854212938581,-8.34577719002582,-9.25678035498417,-9.45441020178048,-10.4713999492724,-10.7628008766861,-11.2007090955972,-11.1266268287244,-11.8333646416488,1.5321700542438e-06,-58.1469302999225,1.67248578202593e-06,-57.7663756546896,-55.4223648329214,22.8480108553794,4.4002265018197e-06,0
57.8624072166925,57.9233706094251,45.1379528857574,7.36782334579382,2.17869758141631,-0.842996836321051,-3.15269084655979,-3.95763052440094,-5.24726394630788,-6.29232166936826,-7.326863964561,-8.03999034197589,-8.66063581354932,-9.28530343262793,-9.48808865645818,-10.3269881720073,-10.7031713953757,-11.202782896117,-11.4541590596688,-11.9278398478098,1.50172328907985e-06,-58.2341008397655,1.6167295210054e-06,-57.913626314628,-55.7055445104779,22.7906392643344,4.18869510024019e-06,0
57.7703091542132,57.7063189167953,45.1689753553809,7.56079912365213,1.83211715341524,-1.42317195816524,-3.86430202982486,-5.34248666399997,-6.76106474306888,-7.62511386293264,-8.34933352877391,-9.529468606089,-9.94686997290139,-10.8865088451263,-11.3443695474055,-11.8249267416272,-12.2794579146976,-12.8268537410681,-12.7876821609919,-13.5533121674914,1.10905595854387e-06,-59.5504654044224,1.27632530163901e-06,-58.9403862122786,-56.1447079802011,21.3417083343949,3.53774817267751e-06,0
57.8309199633613,57.5035431158725,45.1428016581366,7.81395087696751,1.99566586932803,-0.938877610882832,-3.32126213104185,-4.49746685701568,-5.73938482560027,-6.73688150390275,-7.50623794739056,-8.67662965398913,-9.26456817124956,-10.0491386109668,-10.5610805602215,-11.1033247324917,-11.4420413607685,-11.9197531292925,-11.9711805730095,-12.7593810542559,1.30251478420565e-06,-58.8521733846305,1.46065092964074e-06,-58.3545356048441,-55.7535671787741,22.1096924819951,3.96004488979402e-06,0
58.0188801223375,57.2795188110884,45.9062399708839,8.23659267978614,2.58113025736573,-0.739292437868421,-2.92438460573118,-4.09890395924892,-5.1427484895418,-6.41292638665186,-7.11077808085638,-8.07045184820828,-8.70185954411251,-9.55372417938359,-9.71070197662021,-10.4865627420685,-10.7700240149316,-11.6526488356272,-11.5730406876977,-12.3009270276532,1.46722700856708e-06,-58.3350268708564,1.63366003416822e-06,-57.8683831533714,-55.3416189839163,22.6272500014427,4.38915348589842e-06,0
58.0926459556138,57.8052799269566,45.7021088709737,8.17412107285294,2.65209149395391,-1.03604009121679,-3.04532314220934,-4.32994262380912,-5.4882730604962,-6.58743705456943,-7.40443925668219,-8.55716651690648,-9.09386223249061,-9.78500890259546,-9.70205568090235,-10.9543495609858,-11.1424713695472,-11.7804559564922,-11.9278359227049,-12.3700147992021,1.39699409394333e-06,-58.5480542987494,1.57413584966428e-06,-58.0295779020434,-55.4112056094458,22.3752068105059,4.27249647434619e-06,0
57.1889282967671,57.9339166803808,45.6164993039876,7.83139787287576,2.26125126579517,-0.377574345038394,-2.79658814287838,-3.9699316516928,-5.29401695130079,-6.35724395695157,-7.15940390242326,-7.97672554148898,-8.30276267974241,-9.40858948105359,-9.13361558563528,-10.2532974347958,-10.6476593475982,-11.2001277003631,-11.3747201030873,-11.9335959543529,1.54027090065246e-06,-58.1240288928808,1.68786680505604e-06,-57.7266182786148,-55.3562285781731,22.865237501004,4.45234349479061e-06,0
57.5875889098837,57.4132083258205,46.4171134783918,8.30533226040562,2.28654718792414,-0.37022319759879,-2.7332331739033,-3.75234772881295,-4.99381756242391,-6.11681872359106,-6.73128506431827,-7.76020120900543,-8.1886837125813,-9.14539468139672,-9.35697636417883,-9.95766407492814,-10.621739796632,-11.0394798435142,-11.1499756914302,-11.730969318331,1.61347995843454e-06,-57.9223642468147,1.76188746762033e-06,-57.5402183352658,-55.2069149606803,23.0724545644413,4.62739402940861e-06,0
